name,region_clean,address_city,facilityTypeId,is_ngo,enriched_capability,procedure_text,specialties_text,equipment_text,description,confidence
Dr. Martin Curry Dentistry,Greater Accra,Accra,clinic,FALSE,"Cosmetic Surgery | Digital X-ray imaging with OPG, periapical, and bitewing views | Digital X-ray system capable of OPG, periapical, and bitewing imaging | Scaling and Polishing | dental care | dental surgery | diagnostic imaging | imaging services | operating theatre | radiology | surgery | surgical procedures | tooth extraction | ultrasound | x-ray","Digital X-ray imaging with OPG, periapical, and bitewing views | Scaling and Polishing | Cosmetic Surgery",dentistry | radiology,"Digital X-ray system capable of OPG, periapical, and bitewing imaging","Digital X-ray (OPG, Periapical, Bitewing) Scaling & Polishing Comestic Surgery",Medium
St. Paul’s Dental Clinic,Western,Takoradi,clinic,FALSE,Flexible scheduling | Has modern dental equipment | ICU | Insurance accepted | Offers Invisalign | Offers bad breath treatment | Offers braces | Offers dry mouth treatment | Offers enamel abrasion treatment | Offers implants and dentures | Offers inlays and onlays | Offers pediatric dentistry services | Offers root canal treatment | Offers tooth replacement options | Offers treatment for sensitive teeth | Offers veneers | Offers whitening | Pediatric dentistry services available | Provides check-ups and cleaning | Provides crowns and bridges | Provides fissure sealants | Provides tooth extractions | Same-day appointments available | Walk-ins accepted | critical care | dental care | general dentistry | intensive care unit,Offers root canal treatment | Provides tooth extractions | Offers dry mouth treatment | Offers treatment for sensitive teeth | Offers bad breath treatment | Provides check-ups and cleaning | Provides fissure sealants | Offers pediatric dentistry services | Offers implants and dentures | Provides crowns and bridges | Offers inlays and onlays | Offers tooth replacement options | Offers whitening | Offers veneers | Offers braces | Offers enamel abrasion treatment | Offers Invisalign,generalDentistry | pediatricDentistry | cosmeticDentistry | restorativeDentistry | orthodontics,Has modern dental equipment,"St. Paul’s Dental Clinic not only meets your expectations regarding your dental experience, but also surpasses them. We are a team of dynamic people dedicated to making your dentist experience great on all fronts. We accomplish this through efficient teamwork, a gentle patient approach, and a sense of compassion and commitment. It is the combination of these qualities that makes us your most preferred dentist in the Sekondi – Takoradi area. Our doctors and professional staff are trained and focused on effective listening to help each patient articulate and obtain their desired results. We strongly recognize and advocate the role of other dentists and specialists in your treatment and fully endorse the 'team approach' to allow each professional to contribute his or her expertise for your maximum benefit.",High
Advocate Healthcare,Greater Accra,Accra,dentist,FALSE,Has Pharmacy | Has an in-house Dental Lab | Has an in-house Medical Lab | Has an on-site Pharmacy | Has in-house Dental Lab | Has in-house Medical Lab | Offers General Medical and Dental services | Performs Medical Lab tests | Performs Pharmacy services | Provides Dental services | Provides General Medical services | dental care | dental surgery | general medicine | inpatient care | internal medicine | outpatient care | tooth extraction,Provides General Medical services | Provides Dental services | Performs Medical Lab tests | Performs Pharmacy services,internalMedicine | dentistry,Has in-house Dental Lab | Has in-house Medical Lab | Has Pharmacy,"Advocate Healthcare stands for life. We offer General Medical and Dental services,with an in-house Dental and Medical Lab and Pharmacy.",High
"African Vision Clinic - Adenta Housing down, Accra, Ghana",Greater Accra,Accra,clinic,FALSE,"Has a maternity clinic | Has medical supply equipment | Offers Health & Medical Services, Alternative Medicines, and Medical Supply & Engineering Services | Provides alternative medicines | Provides engineering services | Provides maternity clinic services | Provides medical supply services | antenatal care | delivery | eye care | eye surgery | labour ward | maternity | maternity care | obstetrics | optical services",Provides maternity clinic services | Provides alternative medicines | Provides medical supply services | Provides engineering services,ophthalmology | gynecologyAndObstetrics,Has medical supply equipment,Health & Medical Services / Alternative Medicines / Medical Supply & Engineering Services; Maternity Clinic,High
"Passion Medical Laboratory — Opposite Effiduase Government Hospital, Ejisu, Ghana",Ashanti,Ejisu,hospital,FALSE,"Located opposite Effiduase Government Hospital, Ejisu, Ghana | Website passionmedicallaboratory.com | blood tests | diagnostic testing | laboratory services | pathology lab",Performs laboratory and diagnostic testing,pathology,,Passion Medical Laboratory is an NGO which seeks to bring quality medical laboratory services to all the inhabitants of the communities that we operate.,High
"LARS Medical Center - Sunyani Abesim Opposite Victory Hardware, Sunyani, Ghana",Brong Ahafo,Sunyani,hospital,FALSE,general medicine | inpatient care | internal medicine | outpatient care,Provides general internal medicine consultations,internalMedicine,,"Is a private health care provider located at Sunyani Abesim, Opposite Victory Hardware.",Medium
Ahmadiyya Muslim Mission Hospital,Western,DABOASE,hospital,FALSE,"Has laboratory | Has pharmacy | Has radiology equipment | Location: AHMADIYYA HOSPITAL COMPOUND, P.O.BOX 31 DABOASE | NHIS accredited: yes | Ownership: Mission | Provides emergency care | Provides general medical services | Telephone: 031-914-87/027-111-866-6/027-168-041-2 | Type: Primary Hospital | general medicine | inpatient care | internal medicine | outpatient care",Provides general medical services | Provides emergency care,internalMedicine,Has laboratory | Has pharmacy | Has radiology equipment,"Type: Primary Hospital; Ownership: Mission; Location: AHMADIYYA HOSPITAL COMPOUND, P.O.BOX 31 DABOASE; Tel: 031-914-87/027-111-866-6/027-168-041-2; Services: General; NHIS accredited?: yes",High
Universal Health Clinic,Northern,Tamale,clinic,FALSE,Offers all forms of ultrasound scan services | Offers general medical consultation and specialist clinic services | Ultrasound scanning equipment available on-site | diagnostic imaging | general medicine | imaging services | inpatient care | internal medicine | outpatient care | radiology | ultrasound | x-ray,Offers all forms of ultrasound scan services,internalMedicine | radiology,Ultrasound scanning equipment available on-site,General medical consultation and specialist clinic service. All forms of ultrasound scan services,Medium
Vitalis Chiropractic & Wellness,Greater Accra,Accra,clinic,FALSE,"Appointments can be scheduled via phone or WhatsApp | Chiropractic spinal alignment and nerve system tuning | Dr. Charles Jhessim is a licensed chiropractor with over 10 years of experience | Ergonomics advice | Exercise protocols | Hours: today closed; on public holidays 08:00–12:00 | MRI imaging used as part of assessments when required | Nutritional counseling | Peripheral joints adjustments (shoulders, elbows, wrists, fingers, hips, knees and ankles) | Posture and balance training | Treats patients from 2 days old to over 90 years old, including pregnant women | Upper cervical chiropractic adjustment | WhatsApp scheduling available | X-ray imaging used as part of assessments | X-ray imaging used for assessments | child health | children care | neonatal care | pediatric care","Chiropractic spinal alignment and nerve system tuning | Peripheral joints adjustments (shoulders, elbows, wrists, fingers, hips, knees and ankles) | Posture and balance training | Exercise protocols | Ergonomics advice | Nutritional counseling | Walk-in free screening service for posture, scoliosis and vestibular balance and navigation analysis for adults and children | Upper cervical chiropractic adjustment | X-ray imaging used as part of assessments | MRI imaging used as part of assessments when required",pediatrics,X-ray imaging used for assessments | MRI imaging used as part of assessments when required,"Vitalis Chiropractic & Wellness offers chiropractic care focused on spinal health and nerve system tuning, with services including vertebral subluxation detection and correction, spine and nerve system tuning, peripheral joints adjustments, posture and balance training, exercise protocols, ergonomics advice and nutritional counseling. They also provide a walk-in free screening service for assessments of posture, scoliosis and vestibular balance and navigation analysis for adults and children.",High
Precise Specialist Clinic,Ashanti,Kumasi,clinic,FALSE,"Ambulatory services | Booking for complete medical or cardiac evaluation available | Booking for medical or cardiac evaluation available | Clinic status indicates Closed now | Digital Address AG-0664-3007, Kumasi, Ghana | ECG equipment | Echocardiography equipment | ICU | Laboratory analyzers/equipment | On-site diagnostic services | Performs Ambulatory Blood Pressure Monitoring | Performs Ankle Brachial Index (ABI) assessment | Performs Echocardiography (ECHO) | Performs Electrocardiography (ECG) | Performs HOLTER ECG | Performs Stress ECG | Provides Laboratory testing | Provides Ultrasound examinations | Provides specialist cardiac consultations | Provides specialist medical consultations | Specialist cardiac consultations | Specialist medical consultations | Ultrasound equipment | Wellness Clinic | cardiac care | cardiology services | diagnostic imaging | heart treatment | imaging services | intensive care | intensive care unit | laboratory services | radiology | ultrasound | x-ray",Provides specialist medical consultations | Provides specialist cardiac consultations | Performs Electrocardiography (ECG) | Performs Echocardiography (ECHO) | Performs Ambulatory Blood Pressure Monitoring | Performs HOLTER ECG | Performs Stress ECG | Performs Ankle Brachial Index (ABI) assessment | Provides Ultrasound examinations | Provides Laboratory testing | Booking for complete medical or cardiac evaluation available,cardiology | radiology | clinicalPathology,ECG equipment | Echocardiography equipment | Ultrasound equipment | Laboratory analyzers/equipment,Specialist Medical Consultations; Specialist Cardiac Consultations; Wellness Clinic; Electrocardiography (ECG); Echocardiography (ECHO); Ambulatory Blood Pressure Monitoring; HOLTER ECG; Stress ECG; Ankle Brachial Index (ABI); Ultrasound; Laboratory.,High
